position,ingredients,url,ingredients_cleaned,category,label,vegetarian
69,"flour,salt,oil,cold water,apple,sugar,cinnamon,butter",apple_pie/20_homemade_apple_pie_hostedLargeUrl.jpg,"flour,salt,oil,cold water,apple,sugar,cinnamon,butter",apple_pie,Vegetarian,0
91,"shell,pie,sugar,flour,cinnamon,apple,lemon,butter,milk",apple_pie/43_homestyle_apple_pie_hostedLargeUrl.jpg,"pie,sugar,flour,cinnamon,apple,lemon,butter,milk",apple_pie,Vegetarian,0
77,"apple,lemon,sugar,flour,cinnamon,nut,butter,salt,butter,ice water",apple_pie/28_apple_pie_hostedLargeUrl.jpg,"apple,lemon,sugar,flour,cinnamon,nut,butter,salt,butter",apple_pie,Vegetarian,0
88,"pie,apple,sugar,corn starch,cinnamon,lemon,butter,egg,cold water",apple_pie/39_classic_apple_pie_hostedLargeUrl.jpg,"pie,apple,sugar,corn starch,cinnamon,lemon,butter,egg,cold water",apple_pie,Vegetarian,0
62,"apple,brown sugar,butter,cinnamon,allspice,nut,pie",apple_pie/13_mug_apple_pie_hostedLargeUrl.jpg,"apple,brown sugar,butter,cinnamon,nut,pie",apple_pie,Vegetarian,0
93,"pie,apple,sugar,flour,cinnamon,salt,nut,lemon",apple_pie/45_perfect_apple_pie_hostedLargeUrl.jpg,"pie,apple,sugar,flour,cinnamon,salt,nut,lemon",apple_pie,Vegetarian,0
57,"apple,pie,butter,cinnamon",apple_pie/8_apple_pie_hostedLargeUrl.jpg,"apple,pie,butter,cinnamon",apple_pie,Vegetarian,0
67,"pie,apple,sugar,flour,lemon,cinnamon,nut,salt,butter",apple_pie/18_apple_pie_hostedLargeUrl.jpg,"pie,apple,sugar,flour,lemon,cinnamon,nut,salt,butter",apple_pie,Vegetarian,0
63,"apple,lemon,honey,cinnamon,nut,cloves,apple,margarine,corn starch,nut",apple_pie/14_crustless_apple_pie_hostedLargeUrl.jpg,"apple,lemon,honey,cinnamon,nut,cloves,apple,corn starch,nut",apple_pie,Vegetarian,0
83,"apple,water,crust,sugar,cinnamon,salt,corn starch,pie,egg",apple_pie/34_perfect_apple_pie_hostedLargeUrl.jpg,"apple,water,sugar,cinnamon,salt,corn starch,pie,egg",apple_pie,Vegetarian,0
56,"butter,flour,sugar,brown sugar,apple,cinnamon,nut",apple_pie/7_apple_pie_hostedLargeUrl.jpg,"butter,flour,sugar,brown sugar,apple,cinnamon,nut",apple_pie,Vegetarian,0
95,"flour,salt,shortening,sugar,nut,cinnamon,apple,butter",apple_pie/47_the_best_apple_pie_hostedLargeUrl.jpg,"flour,salt,shortening,sugar,nut,cinnamon,apple,butter",apple_pie,Vegetarian,0
81,"flour,butter,caster sugar,cold water,orange,cinnamon,brown sugar,apple,apple,flour,amaretti,egg",apple_pie/32_apple_mummy_pie!_hostedLargeUrl.jpg,"flour,butter,caster sugar,cold water,orange,cinnamon,brown sugar,apple,apple,flour,egg",apple_pie,Vegetarian,0
75,"flour,salt,sugar,butter,ice water,apple,apple,brown sugar,cinnamon,nut,corn starch,lemon,egg",apple_pie/26_apple_pie_hostedLargeUrl.jpg,"flour,salt,sugar,butter,apple,apple,brown sugar,cinnamon,nut,corn starch,lemon,egg",apple_pie,Vegetarian,0
72,"apple,brown sugar,sugar,lemon,flour,cinnamon,pie,butter",apple_pie/23_apple_pie_hostedLargeUrl.jpg,"apple,brown sugar,sugar,lemon,flour,cinnamon,pie,butter",apple_pie,Vegetarian,0
52,"crust,flour,salt,oil,milk,apple,brown sugar,flour,cinnamon",apple_pie/3_easy_homemade_apple_pie_hostedLargeUrl.jpg,"flour,salt,oil,milk,apple,brown sugar,flour,cinnamon",apple_pie,Vegetarian,0
79,"apple,sugar,flour,cinnamon,nut,butter,vanilla bean",apple_pie/30_apple_pie_hostedLargeUrl.jpg,"apple,sugar,flour,cinnamon,nut,butter",apple_pie,Vegetarian,0
58,"pie,apple,sugar,flour,cinnamon,lemon,butter",apple_pie/9_brown_bag_apple_pie_hostedLargeUrl.jpg,"pie,apple,sugar,flour,cinnamon,lemon,butter",apple_pie,Vegetarian,0
96,"pie,apple,sugar,flour,cinnamon,salt,nut,vanilla,lemon",apple_pie/48_perfect_apple_pie_hostedLargeUrl.jpg,"pie,apple,sugar,flour,cinnamon,salt,nut,vanilla,lemon",apple_pie,Vegetarian,0
74,"crust,sugar,flour,cinnamon,nut,salt,apple,butter",apple_pie/25_mom's_apple_pie_hostedLargeUrl.jpg,"sugar,flour,cinnamon,nut,salt,apple,butter",apple_pie,Vegetarian,0
54,"sugar,cinnamon,flour,lemon,apple",apple_pie/5_apple_pie_hostedLargeUrl.jpg,"sugar,cinnamon,flour,lemon,apple",apple_pie,Vegetarian,0
66,"apple,butter,flour,sugar,brown sugar,cinnamon,water,nut,vanilla,pie",apple_pie/17_apple_pie_hostedLargeUrl.jpg,"apple,butter,flour,sugar,brown sugar,cinnamon,water,nut,vanilla,pie",apple_pie,Vegetarian,0
64,"flour,sugar,salt,oil,milk,apple,cinnamon,butter",apple_pie/15_apple_pie_hostedLargeUrl.jpg,"flour,sugar,salt,oil,milk,apple,cinnamon,butter",apple_pie,Vegetarian,0
49,"apple,lemon,cinnamon,mixed spice,vanilla pod,salt,brown sugar,puff,egg,sugar",apple_pie/0_spiced_apple_lattice_pie_hostedLargeUrl.jpg,"apple,lemon,cinnamon,salt,brown sugar,egg,sugar",apple_pie,Vegetarian,0
94,"flour,caster sugar,salt,butter,egg,cinnamon,apple,egg",apple_pie/46_placatory_pregnancy_apple_pie_hostedLargeUrl.jpg,"flour,caster sugar,salt,butter,egg,cinnamon,apple,egg",apple_pie,Vegetarian,0
70,"flour,sugar,baking,butter,egg,egg,apple,cinnamon",apple_pie/21_szarlotka_(polish_apple_pie)_hostedLargeUrl.jpg,"flour,sugar,baking,butter,egg,egg,apple,cinnamon",apple_pie,Vegetarian,0
61,"pie,apple,cinnamon,water,vanilla ice",apple_pie/12_magically_fast_apple_pie_hostedLargeUrl.jpg,"pie,apple,cinnamon,water",apple_pie,Vegetarian,0
